created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-04-16 10:43:31,1383008146625605632,@ActingTheGom Sweden with three times as many elderly people as we have is doing better than we are. No lockdowns &amp;… https://t.co/SHV6YFNTHY,scrahallia,ConcernedCitizen🏴‍☠️,Sun Feb 24 00:24:29 +0000 2013,"[{'url': 'https://t.co/SHV6YFNTHY', 'expanded_url': 'https://twitter.com/i/web/status/1383008146625605632', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]"
2021-04-16 10:42:17,1383007835085230082,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",FranKinsella2,Fran conlon,Fri Jan 29 20:04:21 +0000 2021,[]
2021-04-16 10:40:57,1383007499704537089,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",_boyscrytoo,albert,Sun Mar 01 01:24:08 +0000 2009,[]
2021-04-16 10:40:19,1383007341306580996,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",curlymo_99,Maura,Tue Aug 27 18:30:02 +0000 2013,[]
2021-04-16 10:40:08,1383007292015185921,@ActingTheGom But of a bad faith comparison. Our gov did and is doing shite but no way was this being kept to 26 deaths. 🤷‍♂️,GMCManning,Graham Manning,Sat Dec 08 18:41:35 +0000 2012,[]
2021-04-16 10:38:46,1383006950338793472,"RT @mulvanypeopleb1: @ActingTheGom But, But, But it’s deferent here because they are an island and yes we are an island but not a normal is…",PJkelly66,PJ,Tue Aug 30 21:27:36 +0000 2016,[]
2021-04-16 10:38:33,1383006893933744131,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",DanTheMusician,Daniel Devitt,Tue Jul 21 18:39:30 +0000 2009,[]
2021-04-16 10:38:03,1383006771170717698,@ActingTheGom What’s he done now the clown,neil_byrne,Neil Byrne,Sun Nov 22 02:33:52 +0000 2009,[]
2021-04-16 10:37:45,1383006693810913286,RT @ActingTheGom: Ireland MHQ exemption list. https://t.co/HlkdSZBkw7,eoghan_okeeffe1,Eoghan O Keeffe,Wed Oct 28 17:50:33 +0000 2020,[]
2021-04-16 10:37:21,1383006592090705923,RT @ActingTheGom: Ireland MHQ exemption list. https://t.co/HlkdSZBkw7,lawblaw2020,Bob_Lawblaw,Mon Aug 10 10:37:45 +0000 2020,[]
2021-04-16 10:36:57,1383006493272907777,RT @ActingTheGom: Ireland MHQ exemption list. https://t.co/HlkdSZBkw7,TrumanKelly,Ned Kelly 🏴‍☠️,Wed Jul 25 19:37:12 +0000 2012,[]
2021-04-16 10:36:21,1383006340667310080,RT @ActingTheGom: Ireland MHQ exemption list. https://t.co/HlkdSZBkw7,BarbaraMcMahon8,Babs McMahon 💜💚 #RememberMyNoah💙,Thu Mar 08 08:46:31 +0000 2012,[]
2021-04-16 10:34:26,1383005857831649280,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",charliep2006,suep,Tue Nov 23 19:04:41 +0000 2010,[]
2021-04-16 10:31:53,1383005217659224073,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",StephenMay8,Stephen May,Fri Dec 16 23:02:13 +0000 2011,[]
2021-04-16 10:28:17,1383004310288670720,"@ActingTheGom But, But, But it’s deferent here because they are an island and yes we are an island but not a normal… https://t.co/DcyX1p1jVs",mulvanypeopleb1,Bernard Mulvany PBP DBN👩🏼‍🦽🛗,Tue Oct 02 06:53:27 +0000 2018,"[{'url': 'https://t.co/DcyX1p1jVs', 'expanded_url': 'https://twitter.com/i/web/status/1383004310288670720', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-16 10:27:33,1383004125961551873,RT @ActingTheGom: This is astonishingly perfect. https://t.co/PW7IQzd9DB,seandw14,Sean,Sat Jan 29 10:20:16 +0000 2011,[]
2021-04-16 10:26:58,1383003979928510465,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",FeboMary,🏴‍☠️,Wed Sep 09 17:18:25 +0000 2020,[]
2021-04-16 10:26:40,1383003903730585601,RT @peadarmor: @ActingTheGom I wonder how many of those criticising MHQ for a fortnight as too oppressive think that imprisonment is a walk…,LuccketiMandy,Mandy Doherty,Sun Apr 19 12:01:18 +0000 2009,[]
